ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT063-2,,,mʲiːn koːpːʧ-em baːlʲ muːrʲj-etʲ nʲiːjt ɫɒːwːɫ-ənʲ,1PL.GEN collect-PTCP during berry-ACC.PL girl.NOM.PL sing-PST.3PL,"While we were picking berries, the girls were singing",Daniil Burov (p.c. 2024)
UT064-1,nav˙t̄˙ kon'tɛi m'ehcлa,,naːwʲtʲ konʲtʲ-ej mʲeːhʦ-ɫa,animal.ACC.SG kill-AG hunt-SFX.NOM.SG,hunter killing an animal,Kert 1971:206
UT064-2,сӣррэй юэгктэдтэв кудтҍ сайя,,sʲiːrː-əj juəgːtədː-əw kudʲː sajː-a,play-AG divide-CAUS-MID-PRS.3PL two place-DAT.SG,The players are divided into two teams,UCKSPT:Medvedeva2011_txt7_2
UT065-1,rånhma tālɛ-ah́ḱ ŕāgăńt,,rɒːn̥ː-ma taːɫːə-aːhʲkʲ rʲaːg-ənʲtʲ,wound-PTCP.PST bear-woman.NOM.SG howl-PUNCT.PST.3SG,The wounded female bear howls,Szabó 1968:87
UT065-2,оа̄һка выльшэдтҍ мун э̄л я сēннтма соа̄ррн,,ɒːhk-a vɨlʲʃedʲː mun əːɫ ja sʲeːnːt-ma sɒːrːn,grandmother.DIM.NOM.SG look.PST.3SG 1SG.GEN on and be.angry-PTCP.PST say.PRS.3SG,Grandma looked at me and said angrily,UCKSPT:Yakimovich2015_txt2_43
UT072,muur'j(-et') kooppč-muž-es't' n'iijd lɒɒvvl-en',,muːrʲj-etʲ koːpːʧ-muʒ-əsʲtʲ nʲijt ɫɒːwːɫ-ənʲ,berry-ACC.PL collect-NMLZ-LOC.SG girl.NOM.PL sing-PST.3PL,The girls sang when picking berries,Daniil Burov (p.c. 2024)
UT073-1,вāрр лӣ кӯhкь,,waːrː lʲiː kuːhʲkʲ,road.NOM.SG be.PRS.3SG long.PRED.SG,The road is long,Kuruč 1985:544
UT073-2,вāр лēв кӯгкь,,waːr lʲeːw kuːgʲ,road.NOM.PL be.PRS.3PL long.PRED.PL,The roads are long,Kuruč 1985:544
UT074-1,выйй кāллса мōджьтамусс пӯдзэ альн,,wɨjː kaːɫːs-a moːʥt-amusː puːʣ-ə alʲnʲ,go.PRS.3SG old.man-DIM.NOM.SG beautiful-SUP reindeer-GEN.SG on,The old man rides the most beautiful reindeer,UCKSPT:YuryevYuryeva2017_txt1_27
UT074-2,ēнамусса шоабашт Ёак пуэдтлэ рōдҍхэлетҍ лыһк сайе,,jeːna-musːa ʃɒbaʃt jɒk puədː-ɫ-ə roːdʲxəlʲ-etʲ ɫɨhk sajj-e,a.lot-SUP love.PRS.3SG Joak.NOM.SG come-FRQ-INF parent-DAT.PL work place-DAT.SG,"Most of all, Yasha loves to be at his parents’ work",UCKSPT:Afanasjeva2020_txt4_16
UT075,со̄нн ва̄ллт то̄н мӣлльтэсь,,soːnː waːɫːt toːn mʲiːlʲːtʲe-sʲ,3SG.NOM take.PRS.3SG 2SG.ACC with-3,He will take me with him,Kuruč 1985:190
UT079-1,kux̄t paлtas,,kuːht paɫːtas,two wolf.GEN.SG,two wolves,Kert 1971:171
UT079-2,k'iǯɛm paлtsɛddɛ,,kɨʥemʲ paɫːts-ədːə,seven wolf-PRT,seven wolves,Kert 1971:171
UT080,,,soːnː puːdʲ-e koːɫm-enʲ naːpʲ-enʲ,3SG.NOM come-PST.3SG three-COM cup-COM.SG,He came with three cups,Daniil Burov (p.c. 2024)
UT084-1,si͔i jil'l'en akkăjχă,,sɨjː jiːlʲː-enʲ agːa-xa,3PL.NOM live-PST.3PL woman-ABE.PL,They lived without women,Szabó 1968:65
UT084-2,žɛniχ' arr pait'χa,,ʒənʲexʲ ɒrː paːjtʲ-xa,groom.NOM.SG sit.PRS.3sg shirt-ABE.SG,The groom sits shirtless,Kert 1961:48
UT086-1,puddɛ лūjavr' škoлaja,,puːdʲː-ə ɫuːjaːwʲrʲ ʃkoɫaj-a,come-PST.1SG Lovozero.GEN.SG school-DAT.SG,I arrived at the school in Lovozero,Kert 1961:91
