ID,Name,Central.Veps,Source,Example,Comment
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will? ,0,"Nina Zaiceva, p.c.",,"Typically, the conditional mood is used. "
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,"Nina Zaiceva, p.c.",,
UT035,Is there reflexive conjugation?,1,"Nina Zaiceva, p.c.",peze-moi;wash-REFL.1SG;I was myself;,
UT036,Are there syntactically ditransitive verbs?,0,"Nina Zaiceva, p.c.",,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,"Nina Zaiceva, p.c.",,
UT038,Can an impersonal (or passive) form be used instead of a finite plural form with an overt subject expression?,1,"Nina Zaiceva, p.c.",hö pan-das;they put-IPS.PRS;they put;,
UT039,Can third person plural verb forms be used for impersonal reference?,0,"Nina Zaiceva, p.c.",,"This is, however, possible in Southern Veps."
UT040,Can second person singular verb forms be used in generic meaning?,1,Grünthal 2015: 125,olude-spai humalzu-d;beer-ELA get_drunk-2SG;one gets drunk from beer;,
UT042,Are clauses with only infinitive predicates possible?,0,"Nina Zaiceva, p.c.",,
UT043,Can verbs in purposive subordinate clauses be in bare infinitive form?,1,"Nina Zaiceva, p.c.",Mina lähte-n mec-ha paimenda-mha;1SG go-1SG forest-ILL herd-SUP;I'm going to forest to herd;,
UT044,Are there sentences without overt verbal arguments (e.g. weather verbs)?,1,"Nina Zaiceva, p.c.",vihmu-b;rain-3SG;It is raining;,
UT045,Is copula needed for predicate nominals in the 3rd person form of the present tense?,1,"Nina Zaiceva, p.c.",Hän om hüvä radnik;3SG be.3SG good worker;S/he is a good worker;,
UT046,Is a copula needed for predicate nominals in the past and/or future tense?,1,"Nina Zaiceva, p.c.",Hän linne-b hüvä-n radnika-n;3SG will_be-3SG good-ESS worker-ESS;S/he will be a good worker',
UT047,Can locative adverbial phrases act as predicates without a copula?,0,"Nina Zaiceva, p.c.",,"It is common to use the copula, e.g. Mina ole-n irdou (1SG be-1SG outside) 'I'm outside'."
UT048,"Can the same coordinating conjunction be used for NPs, VPs, and clauses? ",1,Grünthal 2015: 173[example1];Grünthal 2015: 298[example2],"kondii i mužik;bear and man;a bear and a man;|kurttu-b i ńugude käraida-b...;get_offended-3SG and now yell-3SG;gets offended and now yells [at]…;
","da, i 'and'"
UT049,Does existential negation have a separate operator?,0,"Nina Zaiceva, p.c.",,
UT050,Can standard negation be asymmetric in the present tense?,1,"Nina Zaiceva, p.c.",kacu-n : en kacu;watch-1SG : NEG.PRS.1SG watch.CNG;I watch : I don't watch;,
UT051,Can non-finite dependent clauses use the standard negation construction?,0,"Nina Zaiceva, p.c.",,
UT052,Is there a special negator that combines with non-finite forms?,0,"Nina Zaiceva, p.c.",,
UT053,Are there special negative non-finite forms?,1,"Nina Zaiceva, p.c.",teh-ma-toi rad;do-SUP-ADJ work;work that is undone;,
UT054,Is there an impersonal passive construction?,1,"Nina Zaiceva, p.c.",Sigou kund´uu-das muzika-d;there listen-IPS.PRS music-PRT;There (they) listen to the music;,
UT055,"Are there nonfinite forms specialized on the relativization of particular core participants, e.g. subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,"Nina Zaiceva, p.c.",pajata-i ak;sing-ACT.PRS.PTCP woman;a singing woman;,
UT056,"Are there nonfinite forms that can relativize at least all core participants (S/A/P) and possibly also some noncore participants, e.g. locative adverbials, instruments, etc.?",0,"Nina Zaiceva, p.c.",,
