ID,Name,North.Mansi,Source,Example,Comment
UT141,Are there word-initial consonant clusters?,0,Riese and Bradley 2020:25,,Present in Russian loanwords.
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Riese and Bradley 2020:25,,"In three-constituent consonant clusters, the first constituent is the coda of the previous, the second and third consonants are the onset of the next syllable, cf. Coda-maximalization."
UT143,Are there consonant clusters in the syllable coda?,1,Riese and Bradley 2020:25,UT143,Only in monosyllabic words and in word-final syllables.
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Marianne Bakró-Nagy (p.c. 2020),UT144,"Three (or more) constituent clusters in stems are sporadic; they occur mostly in derivations or other affixed forms on morpheme boundaries. (In most cases a non-phonemic epenthetic schwa appears before the third or fourth constituent of non-homorganic clusters: njeːlǝm ‘tongue’ ⟶ njeːlm-ǝt tongue-PL, joxt-ǝs come-PST(.3SG) ⟶ joxt-sǝm come-PST.1SG.)"
UT145,Are there word-final clusters of three or more consonants?,0,Riese and Bradley 2020:25,,
UT146,Are there palatalized alveolar consonants?,1,Bakró-Nagy et al. 2022:539,,There is an opposition in palatalization between alveolars and alveopalatals (with the exception of the trill) 
UT147,Are there palatalized labial and velar consonants?,0,Bakró-Nagy et al. 2022:539,,
UT148,Is there a palatal stop?,0,Bakró-Nagy et al. 2022:539,,Present in Russian loanwords.
UT149,Is there a palatal nasal /ɲ/?,0,Bakró-Nagy et al. 2022:539,,
UT150,Is there a palatal lateral /ʎ/?,0,Bakró-Nagy et al. 2022:539,,
UT151,Is there a velar nasal /ŋ/?,1,Bakró-Nagy et al. 2022:539,UT151,"However, it does not occur in a word initial position."
UT152,Is there an alveolar affricate /t͡s/?,0,Bakró-Nagy et al. 2022:in passim,,There are no affricates in North Mansi.
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",0,Bakró-Nagy et al. 2022:in passim,,There are no affricates in North Mansi.
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,0,Bakró-Nagy et al. 2022:539,,Present in Russian loanwords.
UT155,"Are there voiced plosives (e.g., /b g d/)?",0,Bakró-Nagy et al. 2022:539,,Present in Russian loanwords.
UT156,Is there a glottal stop /ʔ/?,0,Bakró-Nagy et al. 2022:539,,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",1,Riese and Bradley 2020:21,"UT157-1, UT157-2, UT157-3, UT157-4","There is contrast between /k/ vs. /kʷ/, /χ/ vs. /χʷ/."
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Bakró-Nagy et al. 2022:in passim,,
UT159,Is there a laryngeal fricative /h/?,0,Bakró-Nagy et al. 2022:539,,
UT160,Is there a voiced velar fricative /ɣ/?,1,Bakró-Nagy et al. 2022:539,UT160,"However, it does not occur in a word initial position."
UT161,Is there a voiceless velar fricative /x/?,1,Bakró-Nagy et al. 2022:539,UT161,
UT162,Is there a voiced dental fricative /ð/?,0,Bakró-Nagy et al. 2022:539,,
UT163,Is there a labio-velar approximant /w/?,1,Bakró-Nagy et al. 2022:539,UT163,
UT164,Is there a voiceless labiodental fricative /f/?,0,Bakró-Nagy et al. 2022:539,,Present in Russian loanwords.
UT165,Is there radical qualitative consonant gradation?,0,Bakró-Nagy et al. 2022:in passim,,No gradations but paradigmatic alternations.
UT166,Is there quantitative consonant gradation?,0,Bakró-Nagy et al. 2022:in passim,,No gradations but paradigmatic alternations.
