ID,Feature,Value,Source,Comment,Example
GB296,Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB297,Can polar interrogation be indicated by a V-not-V construction?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB298,Can standard negation be marked by an inflecting word (‘auxiliary verb’)?,1,Zaikov 2013:153-154; Sarhimaa 2022:285,,GB139-1
GB299,Can standard negation be marked by a non-inflecting word (‘auxiliary particle’)?,0,Sarhimaa 2022:285,,
GB300,Does the verb for ‘give’ have suppletive verb forms?,0,Torikka 2009:antoa,,
GB301,Is there an inclusory construction?,1,Torikka 2009:kera,,"GB301-1, GB301-2"
GB302,Is there a phonologically free passive marker (‘particle’ or ‘auxiliary’)?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB303,Is there a phonologically free antipassive marker (‘particle’ or ‘auxiliary’)?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB304,Can the agent be expressed overtly in a passive clause?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB305,Is there a phonologically independent reflexive marker?,1,Zaikov 2013:138,,GB305
GB306,Is there a phonologically independent reciprocal marker that does not consist of two quantifiers (e.g. each + other; two + two)?,1,Torikka 2009:toine,,GB306
GB309,"Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?",0,Sarhimaa 2022:280-283,,
GB312,Is there overt morphological marking on the verb dedicated to mood?,1,Sarhimaa 2022:280,There are four moods.,"GB312-1, GB312-2"
GB313,Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?,0,"Zaikov 2013:in passim, Sarhimaa 2022:in passim",,
GB314,Can augmentative meaning be expressed productively by a shift of noun class/gender?,0,Zaikov 2013:in passim,,
GB315,Can diminutive meaning be expressed productively by a shift of noun class/gender?,0,Zaikov 2013:in passim,,
GB316,Is singular number regularly marked in the noun phrase by a phonologically free element?,0,Sarhimaa 2022:277,,
GB317,Is dual number regularly marked in the noun phrase by a phonologically free element?,0,Sarhimaa 2022:277,There is no dual.,
GB318,Is plural number regularly marked in the noun phrase by a phonologically free element?,0,Sarhimaa 2022:277,,
GB319,Is trial number regularly marked in the noun phrase by a phonologically free element?,0,Sarhimaa 2022:277,There is no trial.,
GB320,Is paucal number regularly marked in the noun phrase by a phonologically free element?,0,Sarhimaa 2022:277,There is no paucal.,
GB321,Is there a large class of nouns whose noun class/gender is not phonologically or semantically predictable?,0,Zaikov 2013:in passim,,
GB322,Is there grammatical marking of direct evidence (perceived with the senses)?,0,Zaikov 2013:in passim,,
GB323,"Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?",0,Zaikov 2013:172-187,,
GB324,"Is there an interrogative verb for content interrogatives (who?, what?, etc.)?",0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB325,Is there a count/mass distinction in interrogative quantifiers?,1,"Zaikov 2013:134, 216",,"GB325-1, GB325-2"
GB326,Do (nominal) content interrogatives normally or frequently occur in situ?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB327,Can the relative clause follow the noun?,1,Zaikov 2013:242,,GB134
GB328,Can the relative clause precede the noun?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB329,Are there internally-headed relative clauses?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB330,Are there correlative relative clauses?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB331,Are there non-adjacent relative clauses?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,Further research required.,
GB333,Is there a decimal numeral system?,1,Zaikov 2013:142-143,,GB333
GB334,Is there synchronic evidence for any element of a quinary numeral system?,0,Zaikov 2013:142-143,,
GB335,Is there synchronic evidence for any element of a vigesimal numeral system?,0,Zaikov 2013:142-143,,
GB336,Is there a body-part tallying system?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB400,"Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?",0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB401,Is there a class of patient-labile verbs?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB402,Does the verb for ‘see’ have suppletive verb forms?,0,Torikka 2009:nähä,,
GB403,Does the verb for ‘come’ have suppletive verb forms?,0,Torikka 2009:tulla,,
GB408,Is there any accusative alignment of flagging?,1,Sarhimaa 2022:285-288,,"GB408-1, GB408-2"
GB409,Is there any ergative alignment of flagging?,0,Sarhimaa 2022:285-288,,
GB410,Is there any neutral alignment of flagging?,0,Sarhimaa 2022:285-288,,
GB415,Is there a politeness distinction in second person forms?,0,Torikka 2009:työ2 pers.pron. ,,
GB421,Is there a preposed complementizer for complements of verbs of thinking and/or knowing?,1,Torikka 2009:tieteä,,GB421
GB422,Is there a postposed complementizer for complements of verbs of thinking and/or knowing?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB430,Can adnominal possession be marked by a prefix on the possessor?,0,Zaikov 2013:78; Sarhimaa 2022: 278-279,,
GB431,Can adnominal possession be marked by a prefix on the possessed noun?,0,Zaikov 2013:124-125; Sarhimaa 2022: 278-279,,
GB432,Can adnominal possession be marked by a suffix on the possessor?,1,Zaikov 2013:78; Sarhimaa 2022: 278,The possessor noun is in the genitive case.,GB432
GB433,Can adnominal possession be marked by a suffix on the possessed noun?,1,Zaikov 2013:124-125; Sarhimaa 2022: 278-279,"However, no possessive suffixes with 1Pl and 2Pl.",GB433
GB519,Can mood be marked by a non-inflecting word ('auxiliary particle')?,0,Sarhimaa 2022:281,"Following the Russian model, anna 'give, let' may be used.",
GB520,Can aspect be marked by a non-inflecting word (‘auxiliary particle’)?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB521,Can tense be marked by a non-inflecting word (‘auxiliary particle’)?,0,Sarhimaa 2022:280-283,,
GB522,Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferable from context ('pro-drop')?,1,Zaikov 2013:171,"With the 3rd person plural verb forms, omitting the subject results in a passive reading.","GB522-1, GB522-2"
